Time (ms),L-AI,L-TS,C7,R-TS,R-AI,T8,R-WRIST-JOINT,R-ELBOW-JOINT
4127,-3.757362366,27.55423737,9.26842308,-7.785079956,17.06419373,1.290903091,-28.13694763,-119.4386902
4159,-3.463012695,27.8785553,9.64342308,-7.488903046,17.62466431,1.687765121,-20.62998962,-107.7972717
4201,-3.013511658,28.20910645,10.05540848,-7.146686554,18.15390778,2.2127285,-13.28968811,-96.35089111
4231,-2.460769653,28.57608032,10.47881126,-6.73192215,18.70101929,2.841777802,-6.16027832,-85.24595642
4257,-1.818763733,28.96877289,10.90904427,-6.265926361,19.2948761,3.566068649,0.645843506,-74.67863464
4294,-1.069282532,29.35286713,11.3723793,-5.760253906,19.93641663,4.384149551,6.984634399,-64.88043213
4326,-0.212112427,29.71734619,11.89390755,-5.173725128,20.61813354,5.266141891,12.69172668,-56.10552979
4363,0.711471558,30.08968353,12.47708035,-4.451881409,21.32247162,6.147083282,17.57772827,-48.62654114
4390,1.647064209,30.50416565,13.11644745,-3.58921814,22.01582336,6.961421967,21.48132324,-42.72171021
4419,2.555732727,30.96089935,13.80323887,-2.638851166,22.65636444,7.669863701,24.31851196,-38.633255
4454,3.408851624,31.41309357,14.50063515,-1.686088562,23.18811035,8.245944023,26.04788208,-36.49461365
4492,4.177879333,31.79099274,15.13050556,-0.824371338,23.54244232,8.667239189,26.62365723,-36.28730774
4527,4.838874817,32.0357666,15.60054398,-0.130786896,23.66979218,8.938545227,25.98223877,-37.86317444
4550,5.379425049,32.11844635,15.84856892,0.363758087,23.5609436,9.101438522,24.05531311,-41.00140381
4586,5.81060791,32.03459167,15.86582375,0.676948547,23.24732208,9.213348389,20.84977722,-45.46643066
4621,6.176826477,31.77854156,15.68211842,0.841625214,22.79701233,9.323561668,16.52622986,-51.05145264
4658,6.53818512,31.33081818,15.33832169,0.885002136,22.28716278,9.456127167,11.35494995,-57.5982666
4694,6.928718567,30.67571259,14.86767483,0.831085205,21.76161957,9.594544411,5.58392334,-64.99562073
4724,7.324615479,29.81925964,14.28980255,0.702518463,21.22939301,9.681850433,-0.660186768,-73.16534424
4755,7.659454346,28.78475189,13.62146282,0.515399933,20.69863892,9.661640167,-7.35786438,-82.0340271
4798,7.872703552,27.60115051,12.87741852,0.261829376,20.18016052,9.525450706,-14.47517395,-91.49841309
4827,7.934165955,26.29777527,12.0592947,-0.089179993,19.65926361,9.300168037,-21.88023376,-101.4078827
4850,7.834831238,24.90197754,11.17037392,-0.554141998,19.09902191,9.000785828,-29.3952179,-111.5771027
