Time (ms),L-AI,L-TS,C7,R-TS,R-AI,T8,R-WRIST-JOINT,R-ELBOW-JOINT
3815,5.165664673,-23.26346588,-20.43940735,-28.46431732,-0.065803528,-19.81261444,527.9168091,517.6056519
3855,6.343963623,-23.04656219,-20.43539429,-28.46479034,0.751686096,-19.72318268,546.984375,536.4802856
3896,7.646438599,-22.66569519,-20.42385864,-28.39334869,1.622413635,-19.54962158,565.0096436,554.4213867
3922,9.069473267,-22.11906433,-20.39821625,-28.24099731,2.561729431,-19.2735672,581.9968262,571.2555542
3951,10.57583618,-21.45496368,-20.35405731,-28.03707123,3.5729599,-18.90192413,597.9360962,586.8537598
3991,12.08994293,-20.75514984,-20.29367065,-27.82087708,4.631019592,-18.48093414,612.9044189,601.2174072
4022,13.50915527,-20.11431122,-20.23301697,-27.63103485,5.66960907,-18.08174896,626.9929199,614.4452515
4054,14.73802948,-19.61407471,-20.20006561,-27.51714325,6.599266052,-17.7657547,640.2087402,626.6606445
4093,15.71434021,-19.28857422,-20.21200562,-27.52600861,7.346488953,-17.56613159,652.498291,637.9516602
4127,16.41177368,-19.12173462,-20.25888062,-27.66559601,7.878639221,-17.48659515,663.7905273,648.3435669
4159,16.8353653,-19.08103943,-20.32274628,-27.90301514,8.198471069,-17.50834656,674.0378418,657.8260498
4201,17.01117706,-19.14728546,-20.40194702,-28.19517517,8.323005676,-17.61036682,683.2920532,666.402832
4231,16.97019196,-19.3227005,-20.51099396,-28.50447083,8.266563416,-17.78623199,691.6873169,674.1077881
4257,16.73841095,-19.62002563,-20.66656494,-28.80514526,8.033981323,-18.04062653,699.3019409,680.9855957
4294,16.33831024,-20.03305054,-20.86849213,-29.09599304,7.623352051,-18.37242889,706.0717163,687.057373
4326,15.79699707,-20.50914001,-21.08461761,-29.39229584,7.038139343,-18.7564621,711.864502,692.2924805
4363,15.15007019,-20.96765137,-21.26126862,-29.69763947,6.301849365,-19.14291382,716.6010132,696.5964355
4390,14.43632507,-21.3508606,-21.35333252,-29.9961319,5.458580017,-19.48256683,720.2528687,699.8369751
4419,13.69145966,-21.63536072,-21.3398056,-30.26500702,4.555023193,-19.75187683,722.7735596,701.9240112
4454,12.94204712,-21.80226135,-21.22073364,-30.47871399,3.624702454,-19.95147705,724.1401978,702.8856201
4492,12.19809723,-21.8432312,-21.0193634,-30.61806488,2.688583374,-20.08650208,724.4354858,702.8601074
4527,11.44954681,-21.81520081,-20.78947449,-30.69797516,1.760612488,-20.15921783,723.8240967,702.0247803
4550,10.66622925,-21.84936523,-20.60308075,-30.77402496,0.84728241,-20.19177246,722.506897,700.5316162
4586,9.805007935,-22.07415771,-20.52111816,-30.90476227,-0.056236267,-20.24198151,720.6845093,698.4697266
